epoch,acc,loss,lr,val_acc,val_loss
0,0.44,1.6434867989730835,0.0003,0.5268,1.4248988693237306
1,0.59262,1.2534452825164795,0.0003,0.5791,1.297384209537506
2,0.65942,1.0749450418853759,0.0003,0.634,1.162132173538208
3,0.7056,0.946717034740448,0.0003,0.652,1.1159235944747925
4,0.7446,0.848936268863678,0.0003,0.6326,1.1825073097229004
5,0.77382,0.7666187253379821,0.0003,0.6888,1.0159426561355591
6,0.79752,0.6928264171218872,0.0003,0.7061,0.9590046951293946
7,0.8227,0.629041838684082,0.0003,0.6827,1.0878964588165283
8,0.84264,0.5712821500587464,0.0003,0.6389,1.3735092454910278
9,0.85954,0.5226701773166657,0.0003,0.6464,1.2590190004348756
10,0.8781,0.4718330924987793,0.0003,0.6562,1.3084205617904663
11,0.894,0.42552211435317994,0.0003,0.6372,1.4350274938583374
12,0.91058,0.3842019615936279,0.0003,0.6832,1.2737335006713868
13,0.95878,0.2649312387466431,9.486834e-05,0.7299,1.0855005784988403
14,0.97372,0.22727578419685363,9.486834e-05,0.7295,1.1143938840866088
15,0.97782,0.21122593948364257,9.486834e-05,0.7359,1.1200039152145387
16,0.9834,0.195237226896286,9.486834e-05,0.7125,1.2800115230560303
17,0.98536,0.18645296449661256,9.486834e-05,0.7234,1.2665943397521973
